Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
EasterRedbud,young,yes,0.000000,1233.788940,19.228516
EasterRedbud,young,yes,0.000000,1233.463989,12.468750
EasterRedbud,young,yes,0.000000,1233.139038,0.000000
EasterRedbud,young,yes,0.000000,1232.813965,0.000000
EasterRedbud,young,yes,0.000000,1232.489014,0.000000
EasterRedbud,young,yes,0.000000,1232.163940,1.509521
EasterRedbud,young,yes,0.000000,1231.839966,6.869629
EasterRedbud,young,yes,0.000000,1231.515015,0.000000
EasterRedbud,young,yes,0.000000,1231.189941,0.000000
EasterRedbud,young,yes,0.000000,1230.864990,0.830078
EasterRedbud,young,yes,0.000000,1230.540039,5.790527
EasterRedbud,young,yes,0.000000,1230.214966,0.000000
EasterRedbud,young,yes,0.000000,1229.890015,0.000000
EasterRedbud,young,yes,0.000000,1229.564941,0.000000
EasterRedbud,young,yes,0.000000,1229.239990,1.151123
EasterRedbud,young,yes,0.000000,1228.916016,0.000000
EasterRedbud,young,yes,0.000000,1228.590942,0.000000
EasterRedbud,young,yes,0.000000,1228.265991,0.000000
EasterRedbud,young,yes,0.000000,1227.941040,1.552002
EasterRedbud,young,yes,0.000000,1227.615967,0.000000
EasterRedbud,young,yes,0.000000,1227.291016,14.312012
EasterRedbud,young,yes,0.000000,1226.965942,1.312256
EasterRedbud,young,yes,0.000000,1226.640991,6.512695
EasterRedbud,young,yes,0.000000,1226.317017,18.112793
EasterRedbud,young,yes,0.000000,1225.991943,13.632812
EasterRedbud,young,yes,0.000000,1225.666992,5.833008
EasterRedbud,young,yes,0.000000,1225.342041,6.313232
EasterRedbud,young,yes,0.000000,1225.016968,2.353516
EasterRedbud,young,yes,0.000000,1224.692017,2.673828
EasterRedbud,young,yes,0.000000,1224.366943,6.193848
EasterRedbud,young,yes,0.000000,1224.041992,7.994141
EasterRedbud,young,yes,0.000000,1223.717041,5.114258
EasterRedbud,young,yes,0.000000,1223.392944,1.034668
EasterRedbud,young,yes,0.000000,1223.067993,9.794678
EasterRedbud,young,yes,0.000000,1222.743042,2.074707
EasterRedbud,young,yes,0.000000,1222.417969,10.594971
EasterRedbud,young,yes,0.000000,1222.093018,10.955322
EasterRedbud,young,yes,0.000000,1221.767944,4.755371
EasterRedbud,young,yes,0.000000,1221.442993,0.000000
EasterRedbud,young,yes,0.000000,1221.118042,6.515869
EasterRedbud,young,yes,0.000000,1220.793945,0.556152
EasterRedbud,young,yes,0.000000,1220.468994,6.036377
EasterRedbud,young,yes,0.000000,1220.144043,15.436279
EasterRedbud,young,yes,0.000000,1219.818970,1.236572
EasterRedbud,young,yes,0.000000,1219.494019,0.000000
EasterRedbud,young,yes,0.000000,1219.168945,0.000000
EasterRedbud,young,yes,0.000000,1218.843994,9.076904
EasterRedbud,young,yes,0.000000,1218.519043,0.000000
EasterRedbud,young,yes,0.000000,1218.193970,3.157471
EasterRedbud,young,yes,0.000000,1217.869995,5.677734
EasterRedbud,young,yes,0.000000,1217.545044,0.197754
EasterRedbud,young,yes,0.000000,1217.219971,0.000000
EasterRedbud,young,yes,0.000000,1216.895020,11.838135
EasterRedbud,young,yes,0.000000,1216.569946,3.678467
EasterRedbud,young,yes,0.000000,1216.244995,6.678711
EasterRedbud,young,yes,0.000000,1215.920044,0.000000
EasterRedbud,young,yes,0.000000,1215.594971,0.000000
EasterRedbud,young,yes,0.000000,1215.270996,0.000000
EasterRedbud,young,yes,0.000000,1214.946045,0.000000
EasterRedbud,young,yes,0.000000,1214.620972,0.359375
EasterRedbud,young,yes,0.000000,1214.296021,0.000000
EasterRedbud,young,yes,0.000000,1213.970947,6.119873
EasterRedbud,young,yes,0.000000,1213.645996,0.000000
EasterRedbud,young,yes,0.000000,1213.321045,0.000000
EasterRedbud,young,yes,0.000000,1212.995972,6.520508
EasterRedbud,young,yes,0.000000,1212.671021,9.120605
EasterRedbud,young,yes,0.000000,1212.347046,5.360840
EasterRedbud,young,yes,0.000000,1212.021973,10.801025
EasterRedbud,young,yes,0.000000,1211.697021,3.841064
EasterRedbud,young,yes,0.000000,1211.371948,7.961426
EasterRedbud,young,yes,0.000000,1211.046997,8.961670
EasterRedbud,young,yes,0.000000,1210.722046,0.001953
EasterRedbud,young,yes,0.000000,1210.396973,2.681885
EasterRedbud,young,yes,0.000000,1210.072021,2.522217
EasterRedbud,young,yes,0.000000,1209.746948,14.082275
EasterRedbud,young,yes,0.000000,1209.422974,0.000000
EasterRedbud,young,yes,0.000000,1209.098022,2.962646
EasterRedbud,young,yes,0.000000,1208.772949,0.000000
EasterRedbud,young,yes,0.000000,1208.447998,0.000000
EasterRedbud,young,yes,0.000000,1208.123047,0.000000
EasterRedbud,young,yes,0.000000,1207.797974,3.003418
EasterRedbud,young,yes,0.000000,1207.473022,0.000000
EasterRedbud,young,yes,0.000000,1207.147949,0.000000
EasterRedbud,young,yes,0.000000,1206.823975,0.000000
EasterRedbud,young,yes,0.000000,1206.499023,14.604248
EasterRedbud,young,yes,0.000000,1206.173950,5.804443
