Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
BurOak,young,yes,0.000000,1233.788940,17.055176
BurOak,young,yes,0.000000,1233.463989,11.573486
BurOak,young,yes,0.000000,1233.139038,0.852051
BurOak,young,yes,0.000000,1232.813965,0.000000
BurOak,young,yes,0.000000,1232.489014,0.000000
BurOak,young,yes,0.000000,1232.163940,3.807861
BurOak,young,yes,0.000000,1231.839966,0.000000
BurOak,young,yes,0.000000,1231.515015,0.045166
BurOak,young,yes,0.000000,1231.189941,2.483643
BurOak,young,yes,0.000000,1230.864990,0.000000
BurOak,young,yes,0.000000,1230.540039,0.000000
BurOak,young,yes,0.000000,1230.214966,2.599121
BurOak,young,yes,0.000000,1229.890015,0.000000
BurOak,young,yes,0.000000,1229.564941,0.000000
BurOak,young,yes,0.000000,1229.239990,2.354980
BurOak,young,yes,0.000000,1228.916016,0.000000
BurOak,young,yes,0.000000,1228.590942,0.000000
BurOak,young,yes,0.000000,1228.265991,0.000000
BurOak,young,yes,0.000000,1227.941040,1.589111
BurOak,young,yes,0.000000,1227.615967,13.907959
BurOak,young,yes,0.000000,1227.291016,7.746582
BurOak,young,yes,0.000000,1226.965942,8.864990
BurOak,young,yes,0.000000,1226.640991,7.903564
BurOak,young,yes,0.000000,1226.317017,4.502197
BurOak,young,yes,0.000000,1225.991943,5.540527
BurOak,young,yes,0.000000,1225.666992,5.379150
BurOak,young,yes,0.000000,1225.342041,9.017822
BurOak,young,yes,0.000000,1225.016968,7.216553
BurOak,young,yes,0.000000,1224.692017,6.975098
BurOak,young,yes,0.000000,1224.366943,8.773438
BurOak,young,yes,0.000000,1224.041992,5.412109
BurOak,young,yes,0.000000,1223.717041,0.810547
BurOak,young,yes,0.000000,1223.392944,1.769043
BurOak,young,yes,0.000000,1223.067993,0.000000
BurOak,young,yes,0.000000,1222.743042,9.686279
BurOak,young,yes,0.000000,1222.417969,7.965088
BurOak,young,yes,0.000000,1222.093018,6.043457
BurOak,young,yes,0.000000,1221.767944,0.082031
BurOak,young,yes,0.000000,1221.442993,9.280518
BurOak,young,yes,0.000000,1221.118042,13.519043
BurOak,young,yes,0.000000,1220.793945,8.397705
BurOak,young,yes,0.000000,1220.468994,8.076172
BurOak,young,yes,0.000000,1220.144043,2.435059
BurOak,young,yes,0.000000,1219.818970,3.433594
BurOak,young,yes,0.000000,1219.494019,0.000000
BurOak,young,yes,0.000000,1219.168945,6.550537
BurOak,young,yes,0.000000,1218.843994,8.189209
BurOak,young,yes,0.000000,1218.519043,14.747559
BurOak,young,yes,0.000000,1218.193970,6.346191
BurOak,young,yes,0.000000,1217.869995,8.784668
BurOak,young,yes,0.000000,1217.545044,2.223633
BurOak,young,yes,0.000000,1217.219971,7.582031
BurOak,young,yes,0.000000,1216.895020,1.860596
BurOak,young,yes,0.000000,1216.569946,9.779053
BurOak,young,yes,0.000000,1216.244995,0.000000
BurOak,young,yes,0.000000,1215.920044,4.696289
BurOak,young,yes,0.000000,1215.594971,11.534668
BurOak,young,yes,0.000000,1215.270996,9.773438
BurOak,young,yes,0.000000,1214.946045,7.172119
BurOak,young,yes,0.000000,1214.620972,6.450684
BurOak,young,yes,0.000000,1214.296021,9.049072
BurOak,young,yes,0.000000,1213.970947,6.967773
BurOak,young,yes,0.000000,1213.645996,1.806152
BurOak,young,yes,0.000000,1213.321045,11.684814
BurOak,young,yes,0.000000,1212.995972,12.003174
BurOak,young,yes,0.000000,1212.671021,4.922119
BurOak,young,yes,0.000000,1212.347046,3.120605
BurOak,young,yes,0.000000,1212.021973,8.359131
BurOak,young,yes,0.000000,1211.697021,12.237549
BurOak,young,yes,0.000000,1211.371948,15.756104
BurOak,young,yes,0.000000,1211.046997,5.674805
BurOak,young,yes,0.000000,1210.722046,15.113281
BurOak,young,yes,0.000000,1210.396973,10.351807
BurOak,young,yes,0.000000,1210.072021,9.070557
BurOak,young,yes,0.000000,1209.746948,15.629150
BurOak,young,yes,0.000000,1209.422974,7.507568
BurOak,young,yes,0.000000,1209.098022,3.626221
BurOak,young,yes,0.000000,1208.772949,0.864746
BurOak,young,yes,0.000000,1208.447998,7.863281
BurOak,young,yes,0.000000,1208.123047,5.741699
BurOak,young,yes,0.000000,1207.797974,3.500488
BurOak,young,yes,0.000000,1207.473022,0.000000
BurOak,young,yes,0.000000,1207.147949,0.897705
BurOak,young,yes,0.000000,1206.823975,11.296143
BurOak,young,yes,0.000000,1206.499023,9.614746
BurOak,young,yes,0.000000,1206.173950,0.000000
BurOak,young,yes,0.000000,1205.848999,10.171875
BurOak,young,yes,0.000000,1205.524048,6.810303
BurOak,young,yes,0.000000,1205.198975,6.009033
BurOak,young,yes,0.000000,1204.874023,4.847656
BurOak,young,yes,0.000000,1204.548950,5.206055
BurOak,young,yes,0.000000,1204.223999,13.804688
BurOak,young,yes,0.000000,1203.900024,5.603271
BurOak,young,yes,0.000000,1203.574951,7.521729
BurOak,young,yes,0.000000,1203.250000,0.000000
BurOak,young,yes,0.000000,1202.925049,13.678955
BurOak,young,yes,0.000000,1202.599976,1.477539
BurOak,young,yes,0.000000,1202.275024,0.000000
BurOak,young,yes,0.000000,1201.949951,4.554688
BurOak,young,yes,0.000000,1201.625000,9.593262
BurOak,young,yes,0.000000,1201.301025,4.951660
BurOak,young,yes,0.000000,1200.975952,5.670166
BurOak,young,yes,0.000000,1200.651001,5.548828
BurOak,young,yes,0.000000,1200.326050,5.187500
BurOak,young,yes,0.000000,1200.000977,8.946045
BurOak,young,yes,0.000000,1199.676025,13.584717
BurOak,young,yes,0.000000,1199.350952,15.063232
BurOak,young,yes,0.000000,1199.026001,11.221680
BurOak,young,yes,0.000000,1198.701050,11.980225
BurOak,young,yes,0.000000,1198.376953,13.698730
BurOak,young,yes,0.000000,1198.052002,14.377686
BurOak,young,yes,0.000000,1197.727051,12.456055
BurOak,young,yes,0.000000,1197.401978,12.574707
BurOak,young,yes,0.000000,1197.077026,4.573242
BurOak,young,yes,0.000000,1196.751953,6.131836
BurOak,young,yes,0.000000,1196.427002,9.970215
BurOak,young,yes,0.000000,1196.102051,0.000000
BurOak,young,yes,0.000000,1195.777954,0.000000
BurOak,young,yes,0.000000,1195.453003,0.000000
BurOak,young,yes,0.000000,1195.128052,10.764648
BurOak,young,yes,0.000000,1194.802979,15.283203
BurOak,young,yes,0.000000,1194.478027,3.441650
BurOak,young,yes,0.000000,1194.152954,3.440186
BurOak,young,yes,0.000000,1193.828003,8.078857
BurOak,young,yes,0.000000,1193.503052,4.997314
BurOak,young,yes,0.000000,1193.177979,9.155762
BurOak,young,yes,0.000000,1192.854004,7.954590
BurOak,young,yes,0.000000,1192.529053,2.553223
BurOak,young,yes,0.000000,1192.203979,4.631592
BurOak,young,yes,0.000000,1191.879028,2.710205
BurOak,young,yes,0.000000,1191.553955,0.708740
BurOak,young,yes,0.000000,1191.229004,8.627197
BurOak,young,yes,0.000000,1190.904053,9.105957
BurOak,young,yes,0.000000,1190.578979,8.664551
