Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
Basil,young,yes,0.000000,1233.788940,22.312500
Basil,young,yes,0.000000,1233.463989,15.432129
Basil,young,yes,0.000000,1233.139038,0.000000
Basil,young,yes,0.000000,1232.813965,0.912109
Basil,young,yes,0.000000,1232.489014,0.000000
Basil,young,yes,0.000000,1232.163940,0.000000
Basil,young,yes,0.000000,1231.839966,0.000000
Basil,young,yes,0.000000,1231.515015,8.991211
Basil,young,yes,0.000000,1231.189941,11.391357
Basil,young,yes,0.000000,1230.864990,0.000000
Basil,young,yes,0.000000,1230.540039,0.000000
Basil,young,yes,0.000000,1230.214966,0.630859
Basil,young,yes,0.000000,1229.890015,2.230469
Basil,young,yes,0.000000,1229.564941,0.000000
Basil,young,yes,0.000000,1229.239990,0.000000
Basil,young,yes,0.000000,1228.916016,0.000000
Basil,young,yes,0.000000,1228.590942,0.000000
Basil,young,yes,0.000000,1228.265991,0.000000
Basil,young,yes,0.000000,1227.941040,5.909668
Basil,young,yes,0.000000,1227.615967,2.389404
Basil,young,yes,0.000000,1227.291016,6.429199
Basil,young,yes,0.000000,1226.965942,4.309082
Basil,young,yes,0.000000,1226.640991,0.000000
Basil,young,yes,0.000000,1226.317017,0.000000
Basil,young,yes,0.000000,1225.991943,0.000000
Basil,young,yes,0.000000,1225.666992,0.000000
Basil,young,yes,0.000000,1225.342041,0.000000
Basil,young,yes,0.000000,1225.016968,3.148193
Basil,young,yes,0.000000,1224.692017,6.827881
Basil,young,yes,0.000000,1224.366943,12.747803
Basil,young,yes,0.000000,1224.041992,0.747559
Basil,young,yes,0.000000,1223.717041,6.067383
Basil,young,yes,0.000000,1223.392944,0.000000
Basil,young,yes,0.000000,1223.067993,0.000000
Basil,young,yes,0.000000,1222.743042,0.000000
Basil,young,yes,0.000000,1222.417969,2.746826
Basil,young,yes,0.000000,1222.093018,0.000000
Basil,young,yes,0.000000,1221.767944,0.000000
Basil,young,yes,0.000000,1221.442993,4.266357
Basil,young,yes,0.000000,1221.118042,0.000000
Basil,young,yes,0.000000,1220.793945,1.825928
Basil,young,yes,0.000000,1220.468994,0.000000
Basil,young,yes,0.000000,1220.144043,0.000000
Basil,young,yes,0.000000,1219.818970,0.000000
Basil,young,yes,0.000000,1219.494019,0.000000
Basil,young,yes,0.000000,1219.168945,6.105225
Basil,young,yes,0.000000,1218.843994,0.625000
Basil,young,yes,0.000000,1218.519043,3.504883
Basil,young,yes,0.000000,1218.193970,4.224609
Basil,young,yes,0.000000,1217.869995,8.144531
Basil,young,yes,0.000000,1217.545044,12.504395
Basil,young,yes,0.000000,1217.219971,0.624268
Basil,young,yes,0.000000,1216.895020,9.583984
Basil,young,yes,0.000000,1216.569946,2.583984
Basil,young,yes,0.000000,1216.244995,6.623779
Basil,young,yes,0.000000,1215.920044,12.903564
Basil,young,yes,0.000000,1215.594971,5.023438
Basil,young,yes,0.000000,1215.270996,0.000000
Basil,young,yes,0.000000,1214.946045,8.942871
Basil,young,yes,0.000000,1214.620972,4.462891
Basil,young,yes,0.000000,1214.296021,13.862793
Basil,young,yes,0.000000,1213.970947,0.382568
Basil,young,yes,0.000000,1213.645996,0.000000
Basil,young,yes,0.000000,1213.321045,0.000000
Basil,young,yes,0.000000,1212.995972,0.000000
Basil,young,yes,0.000000,1212.671021,0.000000
Basil,young,yes,0.000000,1212.347046,0.021729
Basil,young,yes,0.000000,1212.021973,9.141602
Basil,young,yes,0.000000,1211.697021,9.381348
Basil,young,yes,0.000000,1211.371948,4.381348
Basil,young,yes,0.000000,1211.046997,6.500977
Basil,young,yes,0.000000,1210.722046,10.500732
Basil,young,yes,0.000000,1210.396973,0.000000
Basil,young,yes,0.000000,1210.072021,0.620605
Basil,young,yes,0.000000,1209.746948,0.000000
Basil,young,yes,0.000000,1209.422974,0.620361
Basil,young,yes,0.000000,1209.098022,0.000000
Basil,young,yes,0.000000,1208.772949,1.299805
Basil,young,yes,0.000000,1208.447998,5.779785
Basil,young,yes,0.000000,1208.123047,3.019531
Basil,young,yes,0.000000,1207.797974,0.000000
Basil,young,yes,0.000000,1207.473022,0.000000
Basil,young,yes,0.000000,1207.147949,2.539062
Basil,young,yes,0.000000,1206.823975,3.058838
Basil,young,yes,0.000000,1206.499023,0.000000
Basil,young,yes,0.000000,1206.173950,0.000000
Basil,young,yes,0.000000,1205.848999,0.000000
Basil,young,yes,0.000000,1205.524048,4.018311
Basil,young,yes,0.000000,1205.198975,7.697998
Basil,young,yes,0.000000,1204.874023,9.257812
Basil,young,yes,0.000000,1204.548950,9.337891
Basil,young,yes,0.000000,1204.223999,0.000000
Basil,young,yes,0.000000,1203.900024,0.977295
Basil,young,yes,0.000000,1203.574951,0.057373
Basil,young,yes,0.000000,1203.250000,0.000000
Basil,young,yes,0.000000,1202.925049,2.976807
Basil,young,yes,0.000000,1202.599976,4.056885
Basil,young,yes,0.000000,1202.275024,0.616699
Basil,young,yes,0.000000,1201.949951,7.376465
Basil,young,yes,0.000000,1201.625000,14.136475
Basil,young,yes,0.000000,1201.301025,0.000000
Basil,young,yes,0.000000,1200.975952,14.095947
Basil,young,yes,0.000000,1200.651001,3.575928
Basil,young,yes,0.000000,1200.326050,0.000000
Basil,young,yes,0.000000,1200.000977,0.000000
Basil,young,yes,0.000000,1199.676025,1.615479
Basil,young,yes,0.000000,1199.350952,8.455078
Basil,young,yes,0.000000,1199.026001,10.375000
Basil,young,yes,0.000000,1198.701050,6.014893
Basil,young,yes,0.000000,1198.376953,12.694580
Basil,young,yes,0.000000,1198.052002,9.334473
Basil,young,yes,0.000000,1197.727051,6.494385
Basil,young,yes,0.000000,1197.401978,0.000000
Basil,young,yes,0.000000,1197.077026,0.000000
Basil,young,yes,0.000000,1196.751953,4.573975
Basil,young,yes,0.000000,1196.427002,4.013672
Basil,young,yes,0.000000,1196.102051,4.973389
Basil,young,yes,0.000000,1195.777954,0.000000
Basil,young,yes,0.000000,1195.453003,0.000000
Basil,young,yes,0.000000,1195.128052,0.172852
Basil,young,yes,0.000000,1194.802979,10.692871
Basil,young,yes,0.000000,1194.478027,1.132812
Basil,young,yes,0.000000,1194.152954,1.892578
Basil,young,yes,0.000000,1193.828003,0.000000
Basil,young,yes,0.000000,1193.503052,4.412109
Basil,young,yes,0.000000,1193.177979,1.892090
Basil,young,yes,0.000000,1192.854004,7.971924
Basil,young,yes,0.000000,1192.529053,2.771729
Basil,young,yes,0.000000,1192.203979,12.811523
Basil,young,yes,0.000000,1191.879028,3.211426
Basil,young,yes,0.000000,1191.553955,11.931152
Basil,young,yes,0.000000,1191.229004,1.291016
Basil,young,yes,0.000000,1190.904053,0.000000
Basil,young,yes,0.000000,1190.578979,0.000000
Basil,young,yes,0.000000,1190.255005,9.290527
Basil,young,yes,0.000000,1189.930054,5.690430
Basil,young,yes,0.000000,1189.604980,2.770264
Basil,young,yes,0.000000,1189.280029,7.209961
Basil,young,yes,0.000000,1188.954956,10.810059
Basil,young,yes,0.000000,1188.630005,15.489746
Basil,young,yes,0.000000,1188.305054,8.289551
Basil,young,yes,0.000000,1187.979980,8.769531
Basil,young,yes,0.000000,1187.655029,9.729248
Basil,young,yes,0.000000,1187.331055,5.569092
Basil,young,yes,0.000000,1187.005981,0.000000
Basil,young,yes,0.000000,1186.681030,3.368896
Basil,young,yes,0.000000,1186.355957,6.448486
Basil,young,yes,0.000000,1186.031006,9.488525
Basil,young,yes,0.000000,1185.706055,1.368408
Basil,young,yes,0.000000,1185.380981,3.728027
Basil,young,yes,0.000000,1185.056030,10.288086
Basil,young,yes,0.000000,1184.732056,7.887939
Basil,young,yes,0.000000,1184.406982,1.007568
Basil,young,yes,0.000000,1184.082031,0.527588
Basil,young,yes,0.000000,1183.756958,0.000000
Basil,young,yes,0.000000,1183.432007,0.406982
Basil,young,yes,0.000000,1183.107056,0.127197
Basil,young,yes,0.000000,1182.781982,6.846924
Basil,young,yes,0.000000,1182.457031,5.166504
Basil,young,yes,0.000000,1182.131958,3.326660
Basil,young,yes,0.000000,1181.807983,0.000000
Basil,young,yes,0.000000,1181.483032,0.000000
Basil,young,yes,0.000000,1181.157959,0.000000
Basil,young,yes,0.000000,1180.833008,0.000000
Basil,young,yes,0.000000,1180.508057,13.245605
Basil,young,yes,0.000000,1180.182983,13.565674
Basil,young,yes,0.000000,1179.858032,12.805420
Basil,young,yes,0.000000,1179.532959,0.645020
Basil,young,yes,0.000000,1179.208984,1.805176
Basil,young,yes,0.000000,1178.884033,1.724854
Basil,young,yes,0.000000,1178.558960,3.364746
Basil,young,yes,0.000000,1178.234009,0.684570
Basil,young,yes,0.000000,1177.909058,4.404297
Basil,young,yes,0.000000,1177.583984,5.404053
Basil,young,yes,0.000000,1177.259033,6.764160
Basil,young,yes,0.000000,1176.933960,5.043945
Basil,young,yes,0.000000,1176.609009,11.603760
Basil,young,yes,0.000000,1176.285034,5.883789
Basil,young,yes,0.000000,1175.959961,0.000000
Basil,young,yes,0.000000,1175.635010,0.000000
Basil,young,yes,0.000000,1175.310059,2.403076
Basil,young,yes,0.000000,1174.984985,0.000000
Basil,young,yes,0.000000,1174.660034,4.282715
Basil,young,yes,0.000000,1174.334961,0.000000
Basil,young,yes,0.000000,1174.010010,6.082520
Basil,young,yes,0.000000,1173.686035,2.122314
Basil,young,yes,0.000000,1173.360962,8.042236
Basil,young,yes,0.000000,1173.036011,17.761963
Basil,young,yes,0.000000,1172.711060,5.361816
Basil,young,yes,0.000000,1172.385986,4.601807
Basil,young,yes,0.000000,1172.061035,7.241455
Basil,young,yes,0.000000,1171.735962,4.401123
Basil,young,yes,0.000000,1171.411011,2.041260
Basil,young,yes,0.000000,1171.086060,0.841064
Basil,young,yes,0.000000,1170.761963,0.000000
Basil,young,yes,0.000000,1170.437012,3.240723
Basil,young,yes,0.000000,1170.112061,0.000000
Basil,young,yes,0.000000,1169.786987,0.000000
Basil,young,yes,0.000000,1169.462036,2.719971
Basil,young,yes,0.000000,1169.136963,5.040039
Basil,young,yes,0.000000,1168.812012,0.439697
Basil,young,yes,0.000000,1168.487061,0.000000
Basil,young,yes,0.000000,1168.162964,0.000000
Basil,young,yes,0.000000,1167.838013,6.479248
Basil,young,yes,0.000000,1167.512939,13.638916
Basil,young,yes,0.000000,1167.187988,8.359131
Basil,young,yes,0.000000,1166.863037,13.518799
Basil,young,yes,0.000000,1166.537964,1.238525
Basil,young,yes,0.000000,1166.213013,7.798584
Basil,young,yes,0.000000,1165.887939,6.278320
Basil,young,yes,0.000000,1165.562988,7.157959
Basil,young,yes,0.000000,1165.239014,0.000000
Basil,young,yes,0.000000,1164.913940,0.997803
Basil,young,yes,0.000000,1164.588989,8.117676
Basil,young,yes,0.000000,1164.264038,0.877686
Basil,young,yes,0.000000,1163.938965,0.517334
Basil,young,yes,0.000000,1163.614014,15.636963
