Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
FragariaAnanassa,young,yes,0.000000,1233.788940,23.905273
FragariaAnanassa,young,yes,0.000000,1233.463989,18.625000
FragariaAnanassa,young,yes,0.000000,1233.139038,0.000000
FragariaAnanassa,young,yes,0.000000,1232.813965,0.000000
FragariaAnanassa,young,yes,0.000000,1232.489014,0.000000
FragariaAnanassa,young,yes,0.000000,1232.163940,1.543701
FragariaAnanassa,young,yes,0.000000,1231.839966,1.383545
FragariaAnanassa,young,yes,0.000000,1231.515015,0.000000
FragariaAnanassa,young,yes,0.000000,1231.189941,0.000000
FragariaAnanassa,young,yes,0.000000,1230.864990,0.000000
FragariaAnanassa,young,yes,0.000000,1230.540039,0.000000
FragariaAnanassa,young,yes,0.000000,1230.214966,0.000000
FragariaAnanassa,young,yes,0.000000,1229.890015,0.000000
FragariaAnanassa,young,yes,0.000000,1229.564941,0.000000
FragariaAnanassa,young,yes,0.000000,1229.239990,0.000000
FragariaAnanassa,young,yes,0.000000,1228.916016,5.461182
FragariaAnanassa,young,yes,0.000000,1228.590942,0.000000
FragariaAnanassa,young,yes,0.000000,1228.265991,3.220459
FragariaAnanassa,young,yes,0.000000,1227.941040,12.980225
FragariaAnanassa,young,yes,0.000000,1227.615967,9.819824
FragariaAnanassa,young,yes,0.000000,1227.291016,0.000000
FragariaAnanassa,young,yes,0.000000,1226.965942,0.000000
FragariaAnanassa,young,yes,0.000000,1226.640991,0.000000
FragariaAnanassa,young,yes,0.000000,1226.317017,0.000000
FragariaAnanassa,young,yes,0.000000,1225.991943,7.618408
FragariaAnanassa,young,yes,0.000000,1225.666992,2.658203
FragariaAnanassa,young,yes,0.000000,1225.342041,11.137939
FragariaAnanassa,young,yes,0.000000,1225.016968,6.737793
FragariaAnanassa,young,yes,0.000000,1224.692017,0.000000
FragariaAnanassa,young,yes,0.000000,1224.366943,0.000000
FragariaAnanassa,young,yes,0.000000,1224.041992,0.776611
FragariaAnanassa,young,yes,0.000000,1223.717041,0.256348
FragariaAnanassa,young,yes,0.000000,1223.392944,0.016113
FragariaAnanassa,young,yes,0.000000,1223.067993,0.000000
FragariaAnanassa,young,yes,0.000000,1222.743042,1.295654
FragariaAnanassa,young,yes,0.000000,1222.417969,0.000000
FragariaAnanassa,young,yes,0.000000,1222.093018,0.000000
FragariaAnanassa,young,yes,0.000000,1221.767944,2.094727
FragariaAnanassa,young,yes,0.000000,1221.442993,1.174561
FragariaAnanassa,young,yes,0.000000,1221.118042,0.000000
FragariaAnanassa,young,yes,0.000000,1220.793945,0.000000
FragariaAnanassa,young,yes,0.000000,1220.468994,0.000000
FragariaAnanassa,young,yes,0.000000,1220.144043,0.000000
FragariaAnanassa,young,yes,0.000000,1219.818970,0.133057
FragariaAnanassa,young,yes,0.000000,1219.494019,0.000000
FragariaAnanassa,young,yes,0.000000,1219.168945,1.252441
FragariaAnanassa,young,yes,0.000000,1218.843994,2.172363
FragariaAnanassa,young,yes,0.000000,1218.519043,5.732178
FragariaAnanassa,young,yes,0.000000,1218.193970,6.931641
FragariaAnanassa,young,yes,0.000000,1217.869995,0.000000
FragariaAnanassa,young,yes,0.000000,1217.545044,2.091064
FragariaAnanassa,young,yes,0.000000,1217.219971,0.000000
