Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
EggPlant,young,yes,0.000000,1233.788940,16.249756
EggPlant,young,yes,0.000000,1233.463989,10.889160
EggPlant,young,yes,0.000000,1233.139038,0.000000
EggPlant,young,yes,0.000000,1232.813965,0.000000
EggPlant,young,yes,0.000000,1232.489014,1.847900
EggPlant,young,yes,0.000000,1232.163940,0.000000
EggPlant,young,yes,0.000000,1231.839966,3.687012
EggPlant,young,yes,0.000000,1231.515015,3.886475
EggPlant,young,yes,0.000000,1231.189941,2.726318
EggPlant,young,yes,0.000000,1230.864990,0.000000
EggPlant,young,yes,0.000000,1230.540039,3.525391
EggPlant,young,yes,0.000000,1230.214966,2.044922
EggPlant,young,yes,0.000000,1229.890015,0.000000
EggPlant,young,yes,0.000000,1229.564941,0.000000
EggPlant,young,yes,0.000000,1229.239990,0.000000
EggPlant,young,yes,0.000000,1228.916016,0.000000
EggPlant,young,yes,0.000000,1228.590942,0.602539
EggPlant,young,yes,0.000000,1228.265991,14.442139
EggPlant,young,yes,0.000000,1227.941040,18.481934
EggPlant,young,yes,0.000000,1227.615967,17.841309
EggPlant,young,yes,0.000000,1227.291016,12.320801
EggPlant,young,yes,0.000000,1226.965942,0.000000
EggPlant,young,yes,0.000000,1226.640991,12.439941
EggPlant,young,yes,0.000000,1226.317017,6.839600
EggPlant,young,yes,0.000000,1225.991943,0.359131
EggPlant,young,yes,0.000000,1225.666992,0.000000
EggPlant,young,yes,0.000000,1225.342041,0.598145
EggPlant,young,yes,0.000000,1225.016968,7.517822
EggPlant,young,yes,0.000000,1224.692017,5.957520
EggPlant,young,yes,0.000000,1224.366943,7.957031
EggPlant,young,yes,0.000000,1224.041992,11.596436
EggPlant,young,yes,0.000000,1223.717041,6.355957
EggPlant,young,yes,0.000000,1223.392944,14.755615
EggPlant,young,yes,0.000000,1223.067993,0.000000
EggPlant,young,yes,0.000000,1222.743042,5.354736
EggPlant,young,yes,0.000000,1222.417969,3.274414
EggPlant,young,yes,0.000000,1222.093018,5.113770
EggPlant,young,yes,0.000000,1221.767944,7.993408
EggPlant,young,yes,0.000000,1221.442993,14.473145
EggPlant,young,yes,0.000000,1221.118042,0.552734
EggPlant,young,yes,0.000000,1220.793945,11.392090
EggPlant,young,yes,0.000000,1220.468994,7.631592
EggPlant,young,yes,0.000000,1220.144043,4.671143
EggPlant,young,yes,0.000000,1219.818970,6.310791
EggPlant,young,yes,0.000000,1219.494019,0.000000
EggPlant,young,yes,0.000000,1219.168945,12.229980
EggPlant,young,yes,0.000000,1218.843994,14.069336
EggPlant,young,yes,0.000000,1218.519043,13.149170
EggPlant,young,yes,0.000000,1218.193970,0.000000
EggPlant,young,yes,0.000000,1217.869995,9.868164
EggPlant,young,yes,0.000000,1217.545044,9.147705
EggPlant,young,yes,0.000000,1217.219971,0.000000
EggPlant,young,yes,0.000000,1216.895020,0.306885
EggPlant,young,yes,0.000000,1216.569946,0.000000
EggPlant,young,yes,0.000000,1216.244995,5.625977
EggPlant,young,yes,0.000000,1215.920044,5.145508
EggPlant,young,yes,0.000000,1215.594971,2.665039
EggPlant,young,yes,0.000000,1215.270996,0.464844
EggPlant,young,yes,0.000000,1214.946045,11.864258
EggPlant,young,yes,0.000000,1214.620972,3.223877
EggPlant,young,yes,0.000000,1214.296021,5.183350
EggPlant,young,yes,0.000000,1213.970947,0.000000
EggPlant,young,yes,0.000000,1213.645996,2.902588
