Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
EggPlant,young,yes,0.000000,1233.788940,14.144775
EggPlant,young,yes,0.000000,1233.463989,8.104004
EggPlant,young,yes,0.000000,1233.139038,0.000000
EggPlant,young,yes,0.000000,1232.813965,0.000000
EggPlant,young,yes,0.000000,1232.489014,3.222168
EggPlant,young,yes,0.000000,1232.163940,3.581299
EggPlant,young,yes,0.000000,1231.839966,0.000000
EggPlant,young,yes,0.000000,1231.515015,2.899902
EggPlant,young,yes,0.000000,1231.189941,0.979492
EggPlant,young,yes,0.000000,1230.864990,0.000000
EggPlant,young,yes,0.000000,1230.540039,0.000000
EggPlant,young,yes,0.000000,1230.214966,0.000000
EggPlant,young,yes,0.000000,1229.890015,0.000000
EggPlant,young,yes,0.000000,1229.564941,0.000000
EggPlant,young,yes,0.000000,1229.239990,1.895264
EggPlant,young,yes,0.000000,1228.916016,0.934570
EggPlant,young,yes,0.000000,1228.590942,0.000000
EggPlant,young,yes,0.000000,1228.265991,3.013184
EggPlant,young,yes,0.000000,1227.941040,1.412598
EggPlant,young,yes,0.000000,1227.615967,0.000000
EggPlant,young,yes,0.000000,1227.291016,2.611084
EggPlant,young,yes,0.000000,1226.965942,5.290527
EggPlant,young,yes,0.000000,1226.640991,0.000000
EggPlant,young,yes,0.000000,1226.317017,5.569092
EggPlant,young,yes,0.000000,1225.991943,5.328369
EggPlant,young,yes,0.000000,1225.666992,4.407715
EggPlant,young,yes,0.000000,1225.342041,12.126953
EggPlant,young,yes,0.000000,1225.016968,13.726318
EggPlant,young,yes,0.000000,1224.692017,0.000000
EggPlant,young,yes,0.000000,1224.366943,0.000000
EggPlant,young,yes,0.000000,1224.041992,0.000000
EggPlant,young,yes,0.000000,1223.717041,9.043457
EggPlant,young,yes,0.000000,1223.392944,8.523193
EggPlant,young,yes,0.000000,1223.067993,6.562256
EggPlant,young,yes,0.000000,1222.743042,2.601562
EggPlant,young,yes,0.000000,1222.417969,0.800781
EggPlant,young,yes,0.000000,1222.093018,10.400146
EggPlant,young,yes,0.000000,1221.767944,7.439697
EggPlant,young,yes,0.000000,1221.442993,11.318848
EggPlant,young,yes,0.000000,1221.118042,1.438232
EggPlant,young,yes,0.000000,1220.793945,11.237549
EggPlant,young,yes,0.000000,1220.468994,3.916748
EggPlant,young,yes,0.000000,1220.144043,3.716309
EggPlant,young,yes,0.000000,1219.818970,4.955566
EggPlant,young,yes,0.000000,1219.494019,0.000000
EggPlant,young,yes,0.000000,1219.168945,2.474121
EggPlant,young,yes,0.000000,1218.843994,0.000000
