Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
TomatoPlant,young,yes,0.000000,1233.788940,16.267578
TomatoPlant,young,yes,0.000000,1233.463989,10.787598
TomatoPlant,young,yes,0.000000,1233.139038,0.000000
TomatoPlant,young,yes,0.000000,1232.813965,0.000000
TomatoPlant,young,yes,0.000000,1232.489014,0.000000
TomatoPlant,young,yes,0.000000,1232.163940,1.107422
TomatoPlant,young,yes,0.000000,1231.839966,2.507568
TomatoPlant,young,yes,0.000000,1231.515015,1.027588
TomatoPlant,young,yes,0.000000,1231.189941,0.000000
TomatoPlant,young,yes,0.000000,1230.864990,7.107422
TomatoPlant,young,yes,0.000000,1230.540039,5.867432
TomatoPlant,young,yes,0.000000,1230.214966,0.000000
TomatoPlant,young,yes,0.000000,1229.890015,0.000000
TomatoPlant,young,yes,0.000000,1229.564941,0.000000
TomatoPlant,young,yes,0.000000,1229.239990,1.507568
TomatoPlant,young,yes,0.000000,1228.916016,2.907471
TomatoPlant,young,yes,0.000000,1228.590942,8.507568
TomatoPlant,young,yes,0.000000,1228.265991,7.427490
TomatoPlant,young,yes,0.000000,1227.941040,3.427490
TomatoPlant,young,yes,0.000000,1227.615967,4.587402
TomatoPlant,young,yes,0.000000,1227.291016,4.667480
TomatoPlant,young,yes,0.000000,1226.965942,11.067627
TomatoPlant,young,yes,0.000000,1226.640991,8.227539
TomatoPlant,young,yes,0.000000,1226.317017,0.000000
TomatoPlant,young,yes,0.000000,1225.991943,8.627441
TomatoPlant,young,yes,0.000000,1225.666992,0.000000
TomatoPlant,young,yes,0.000000,1225.342041,5.187500
TomatoPlant,young,yes,0.000000,1225.016968,6.027588
TomatoPlant,young,yes,0.000000,1224.692017,0.000000
TomatoPlant,young,yes,0.000000,1224.366943,0.427490
TomatoPlant,young,yes,0.000000,1224.041992,1.507568
TomatoPlant,young,yes,0.000000,1223.717041,0.000000
TomatoPlant,young,yes,0.000000,1223.392944,0.000000
TomatoPlant,young,yes,0.000000,1223.067993,1.507568
TomatoPlant,young,yes,0.000000,1222.743042,0.000000
TomatoPlant,young,yes,0.000000,1222.417969,0.000000
TomatoPlant,young,yes,0.000000,1222.093018,3.027588
TomatoPlant,young,yes,0.000000,1221.767944,3.027588
TomatoPlant,young,yes,0.000000,1221.442993,8.587402
TomatoPlant,young,yes,0.000000,1221.118042,7.427490
TomatoPlant,young,yes,0.000000,1220.793945,4.387451
TomatoPlant,young,yes,0.000000,1220.468994,1.587402
TomatoPlant,young,yes,0.000000,1220.144043,8.947510
TomatoPlant,young,yes,0.000000,1219.818970,0.000000
TomatoPlant,young,yes,0.000000,1219.494019,0.000000
TomatoPlant,young,yes,0.000000,1219.168945,0.000000
TomatoPlant,young,yes,0.000000,1218.843994,5.587402
TomatoPlant,young,yes,0.000000,1218.519043,7.707520
TomatoPlant,young,yes,0.000000,1218.193970,0.000000
TomatoPlant,young,yes,0.000000,1217.869995,6.947510
TomatoPlant,young,yes,0.000000,1217.545044,0.000000
TomatoPlant,young,yes,0.000000,1217.219971,0.000000
TomatoPlant,young,yes,0.000000,1216.895020,0.000000
TomatoPlant,young,yes,0.000000,1216.569946,0.000000
TomatoPlant,young,yes,0.000000,1216.244995,7.507568
TomatoPlant,young,yes,0.000000,1215.920044,0.267578
TomatoPlant,young,yes,0.000000,1215.594971,0.187500
TomatoPlant,young,yes,0.000000,1215.270996,0.000000
TomatoPlant,young,yes,0.000000,1214.946045,0.000000
TomatoPlant,young,yes,0.000000,1214.620972,0.000000
TomatoPlant,young,yes,0.000000,1214.296021,3.867432
TomatoPlant,young,yes,0.000000,1213.970947,6.827393
TomatoPlant,young,yes,0.000000,1213.645996,6.267578
TomatoPlant,young,yes,0.000000,1213.321045,0.787598
TomatoPlant,young,yes,0.000000,1212.995972,0.000000
TomatoPlant,young,yes,0.000000,1212.671021,4.147461
TomatoPlant,young,yes,0.000000,1212.347046,15.707520
TomatoPlant,young,yes,0.000000,1212.021973,10.027588
TomatoPlant,young,yes,0.000000,1211.697021,13.867432
TomatoPlant,young,yes,0.000000,1211.371948,9.267578
TomatoPlant,young,yes,0.000000,1211.046997,0.000000
TomatoPlant,young,yes,0.000000,1210.722046,0.000000
TomatoPlant,young,yes,0.000000,1210.396973,3.907471
TomatoPlant,young,yes,0.000000,1210.072021,7.467529
TomatoPlant,young,yes,0.000000,1209.746948,4.387451
TomatoPlant,young,yes,0.000000,1209.422974,0.000000
TomatoPlant,young,yes,0.000000,1209.098022,3.667480
