Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
JalepenoChilliPlant,young,yes,0.000000,1233.788940,28.934082
JalepenoChilliPlant,young,yes,0.000000,1233.463989,21.454346
JalepenoChilliPlant,young,yes,0.000000,1233.139038,0.000000
JalepenoChilliPlant,young,yes,0.000000,1232.813965,0.000000
JalepenoChilliPlant,young,yes,0.000000,1232.489014,0.000000
JalepenoChilliPlant,young,yes,0.000000,1232.163940,0.000000
JalepenoChilliPlant,young,yes,0.000000,1231.839966,0.000000
JalepenoChilliPlant,young,yes,0.000000,1231.515015,0.000000
JalepenoChilliPlant,young,yes,0.000000,1231.189941,4.575439
JalepenoChilliPlant,young,yes,0.000000,1230.864990,0.000000
JalepenoChilliPlant,young,yes,0.000000,1230.540039,0.000000
JalepenoChilliPlant,young,yes,0.000000,1230.214966,0.000000
JalepenoChilliPlant,young,yes,0.000000,1229.890015,0.000000
JalepenoChilliPlant,young,yes,0.000000,1229.564941,0.000000
JalepenoChilliPlant,young,yes,0.000000,1229.239990,0.000000
JalepenoChilliPlant,young,yes,0.000000,1228.916016,0.000000
JalepenoChilliPlant,young,yes,0.000000,1228.590942,0.000000
JalepenoChilliPlant,young,yes,0.000000,1228.265991,0.000000
JalepenoChilliPlant,young,yes,0.000000,1227.941040,0.337158
JalepenoChilliPlant,young,yes,0.000000,1227.615967,1.377441
JalepenoChilliPlant,young,yes,0.000000,1227.291016,14.897461
JalepenoChilliPlant,young,yes,0.000000,1226.965942,9.897705
JalepenoChilliPlant,young,yes,0.000000,1226.640991,0.000000
JalepenoChilliPlant,young,yes,0.000000,1226.317017,5.378174
JalepenoChilliPlant,young,yes,0.000000,1225.991943,1.738281
JalepenoChilliPlant,young,yes,0.000000,1225.666992,12.898438
JalepenoChilliPlant,young,yes,0.000000,1225.342041,11.578613
JalepenoChilliPlant,young,yes,0.000000,1225.016968,1.818848
JalepenoChilliPlant,young,yes,0.000000,1224.692017,8.418945
JalepenoChilliPlant,young,yes,0.000000,1224.366943,10.339111
JalepenoChilliPlant,young,yes,0.000000,1224.041992,0.000000
JalepenoChilliPlant,young,yes,0.000000,1223.717041,2.539307
JalepenoChilliPlant,young,yes,0.000000,1223.392944,1.019531
JalepenoChilliPlant,young,yes,0.000000,1223.067993,0.000000
JalepenoChilliPlant,young,yes,0.000000,1222.743042,7.300049
JalepenoChilliPlant,young,yes,0.000000,1222.417969,6.340088
JalepenoChilliPlant,young,yes,0.000000,1222.093018,6.740479
JalepenoChilliPlant,young,yes,0.000000,1221.767944,0.000000
JalepenoChilliPlant,young,yes,0.000000,1221.442993,10.380615
JalepenoChilliPlant,young,yes,0.000000,1221.118042,2.740967
JalepenoChilliPlant,young,yes,0.000000,1220.793945,4.781006
JalepenoChilliPlant,young,yes,0.000000,1220.468994,5.701416
JalepenoChilliPlant,young,yes,0.000000,1220.144043,12.701416
JalepenoChilliPlant,young,yes,0.000000,1219.818970,0.000000
JalepenoChilliPlant,young,yes,0.000000,1219.494019,0.000000
JalepenoChilliPlant,young,yes,0.000000,1219.168945,17.382080
JalepenoChilliPlant,young,yes,0.000000,1218.843994,0.000000
JalepenoChilliPlant,young,yes,0.000000,1218.519043,0.222412
JalepenoChilliPlant,young,yes,0.000000,1218.193970,9.262451
JalepenoChilliPlant,young,yes,0.000000,1217.869995,0.000000
JalepenoChilliPlant,young,yes,0.000000,1217.545044,1.702881
JalepenoChilliPlant,young,yes,0.000000,1217.219971,6.143066
JalepenoChilliPlant,young,yes,0.000000,1216.895020,0.000000
JalepenoChilliPlant,young,yes,0.000000,1216.569946,1.463379
