Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
PumpkinPlant,young,yes,0.000000,1233.788940,15.025146
PumpkinPlant,young,yes,0.000000,1233.463989,8.744629
PumpkinPlant,young,yes,0.000000,1233.139038,0.000000
PumpkinPlant,young,yes,0.000000,1232.813965,0.000000
PumpkinPlant,young,yes,0.000000,1232.489014,3.263428
PumpkinPlant,young,yes,0.000000,1232.163940,0.000000
PumpkinPlant,young,yes,0.000000,1231.839966,1.342773
PumpkinPlant,young,yes,0.000000,1231.515015,1.702148
PumpkinPlant,young,yes,0.000000,1231.189941,1.701660
PumpkinPlant,young,yes,0.000000,1230.864990,1.221436
PumpkinPlant,young,yes,0.000000,1230.540039,0.660889
PumpkinPlant,young,yes,0.000000,1230.214966,0.000000
PumpkinPlant,young,yes,0.000000,1229.890015,0.000000
PumpkinPlant,young,yes,0.000000,1229.564941,0.000000
PumpkinPlant,young,yes,0.000000,1229.239990,1.699219
PumpkinPlant,young,yes,0.000000,1228.916016,0.000000
PumpkinPlant,young,yes,0.000000,1228.590942,5.618652
PumpkinPlant,young,yes,0.000000,1228.265991,6.618164
PumpkinPlant,young,yes,0.000000,1227.941040,0.000000
PumpkinPlant,young,yes,0.000000,1227.615967,4.217285
PumpkinPlant,young,yes,0.000000,1227.291016,6.256836
PumpkinPlant,young,yes,0.000000,1226.965942,0.000000
PumpkinPlant,young,yes,0.000000,1226.640991,3.895752
PumpkinPlant,young,yes,0.000000,1226.317017,1.375732
PumpkinPlant,young,yes,0.000000,1225.991943,6.535156
PumpkinPlant,young,yes,0.000000,1225.666992,0.000000
PumpkinPlant,young,yes,0.000000,1225.342041,11.854492
PumpkinPlant,young,yes,0.000000,1225.016968,8.733887
PumpkinPlant,young,yes,0.000000,1224.692017,4.493408
PumpkinPlant,young,yes,0.000000,1224.366943,16.532959
PumpkinPlant,young,yes,0.000000,1224.041992,2.572754
PumpkinPlant,young,yes,0.000000,1223.717041,0.000000
PumpkinPlant,young,yes,0.000000,1223.392944,0.000000
PumpkinPlant,young,yes,0.000000,1223.067993,0.000000
PumpkinPlant,young,yes,0.000000,1222.743042,0.000000
PumpkinPlant,young,yes,0.000000,1222.417969,3.530518
PumpkinPlant,young,yes,0.000000,1222.093018,8.090088
PumpkinPlant,young,yes,0.000000,1221.767944,10.809814
PumpkinPlant,young,yes,0.000000,1221.442993,4.209229
PumpkinPlant,young,yes,0.000000,1221.118042,2.488770
PumpkinPlant,young,yes,0.000000,1220.793945,3.288574
PumpkinPlant,young,yes,0.000000,1220.468994,0.000000
PumpkinPlant,young,yes,0.000000,1220.144043,9.407471
PumpkinPlant,young,yes,0.000000,1219.818970,3.007080
PumpkinPlant,young,yes,0.000000,1219.494019,8.886719
PumpkinPlant,young,yes,0.000000,1219.168945,5.046387
PumpkinPlant,young,yes,0.000000,1218.843994,5.605957
PumpkinPlant,young,yes,0.000000,1218.519043,7.885498
PumpkinPlant,young,yes,0.000000,1218.193970,3.525146
PumpkinPlant,young,yes,0.000000,1217.869995,0.000000
PumpkinPlant,young,yes,0.000000,1217.545044,1.764160
PumpkinPlant,young,yes,0.000000,1217.219971,0.000000
PumpkinPlant,young,yes,0.000000,1216.895020,0.000000
PumpkinPlant,young,yes,0.000000,1216.569946,1.522949
PumpkinPlant,young,yes,0.000000,1216.244995,4.962646
PumpkinPlant,young,yes,0.000000,1215.920044,1.562256
PumpkinPlant,young,yes,0.000000,1215.594971,2.681641
PumpkinPlant,young,yes,0.000000,1215.270996,0.000000
