Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
Soyabean,young,yes,0.000000,1233.788940,19.540039
Soyabean,young,yes,0.000000,1233.463989,13.540039
Soyabean,young,yes,0.000000,1233.139038,0.000000
Soyabean,young,yes,0.000000,1232.813965,0.000000
Soyabean,young,yes,0.000000,1232.489014,4.859375
Soyabean,young,yes,0.000000,1232.163940,4.939453
Soyabean,young,yes,0.000000,1231.839966,2.699463
Soyabean,young,yes,0.000000,1231.515015,0.699219
Soyabean,young,yes,0.000000,1231.189941,0.000000
Soyabean,young,yes,0.000000,1230.864990,0.000000
Soyabean,young,yes,0.000000,1230.540039,5.299072
Soyabean,young,yes,0.000000,1230.214966,0.000000
Soyabean,young,yes,0.000000,1229.890015,0.000000
Soyabean,young,yes,0.000000,1229.564941,0.000000
Soyabean,young,yes,0.000000,1229.239990,0.000000
Soyabean,young,yes,0.000000,1228.916016,0.000000
Soyabean,young,yes,0.000000,1228.590942,0.000000
Soyabean,young,yes,0.000000,1228.265991,0.000000
Soyabean,young,yes,0.000000,1227.941040,3.098389
Soyabean,young,yes,0.000000,1227.615967,7.338135
Soyabean,young,yes,0.000000,1227.291016,2.498047
Soyabean,young,yes,0.000000,1226.965942,0.000000
Soyabean,young,yes,0.000000,1226.640991,2.737793
Soyabean,young,yes,0.000000,1226.317017,1.857666
Soyabean,young,yes,0.000000,1225.991943,1.617432
Soyabean,young,yes,0.000000,1225.666992,0.000000
Soyabean,young,yes,0.000000,1225.342041,0.657471
Soyabean,young,yes,0.000000,1225.016968,2.777344
Soyabean,young,yes,0.000000,1224.692017,6.257324
Soyabean,young,yes,0.000000,1224.366943,9.737061
Soyabean,young,yes,0.000000,1224.041992,0.000000
Soyabean,young,yes,0.000000,1223.717041,4.817139
Soyabean,young,yes,0.000000,1223.392944,0.456787
Soyabean,young,yes,0.000000,1223.067993,7.696777
Soyabean,young,yes,0.000000,1222.743042,0.936523
Soyabean,young,yes,0.000000,1222.417969,0.000000
Soyabean,young,yes,0.000000,1222.093018,3.376465
Soyabean,young,yes,0.000000,1221.767944,0.000000
Soyabean,young,yes,0.000000,1221.442993,0.000000
Soyabean,young,yes,0.000000,1221.118042,7.216064
Soyabean,young,yes,0.000000,1220.793945,4.135986
Soyabean,young,yes,0.000000,1220.468994,0.000000
Soyabean,young,yes,0.000000,1220.144043,0.000000
Soyabean,young,yes,0.000000,1219.818970,0.000000
Soyabean,young,yes,0.000000,1219.494019,0.000000
Soyabean,young,yes,0.000000,1219.168945,4.935547
Soyabean,young,yes,0.000000,1218.843994,0.000000
Soyabean,young,yes,0.000000,1218.519043,2.815430
Soyabean,young,yes,0.000000,1218.193970,1.815430
Soyabean,young,yes,0.000000,1217.869995,0.000000
Soyabean,young,yes,0.000000,1217.545044,0.000000
Soyabean,young,yes,0.000000,1217.219971,0.000000
Soyabean,young,yes,0.000000,1216.895020,0.000000
Soyabean,young,yes,0.000000,1216.569946,0.294922
Soyabean,young,yes,0.000000,1216.244995,9.054688
Soyabean,young,yes,0.000000,1215.920044,1.454590
Soyabean,young,yes,0.000000,1215.594971,6.774658
Soyabean,young,yes,0.000000,1215.270996,12.094482
Soyabean,young,yes,0.000000,1214.946045,1.494385
