Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
CornFlour,young,yes,0.000000,1233.788940,14.467529
CornFlour,young,yes,0.000000,1233.463989,8.746826
CornFlour,young,yes,0.000000,1233.139038,0.000000
CornFlour,young,yes,0.000000,1232.813965,1.425537
CornFlour,young,yes,0.000000,1232.489014,0.000000
CornFlour,young,yes,0.000000,1232.163940,0.000000
CornFlour,young,yes,0.000000,1231.839966,0.000000
CornFlour,young,yes,0.000000,1231.515015,0.000000
CornFlour,young,yes,0.000000,1231.189941,0.000000
CornFlour,young,yes,0.000000,1230.864990,1.302002
CornFlour,young,yes,0.000000,1230.540039,3.941162
CornFlour,young,yes,0.000000,1230.214966,8.780762
CornFlour,young,yes,0.000000,1229.890015,0.000000
CornFlour,young,yes,0.000000,1229.564941,5.379150
CornFlour,young,yes,0.000000,1229.239990,0.000000
CornFlour,young,yes,0.000000,1228.916016,0.000000
CornFlour,young,yes,0.000000,1228.590942,0.577637
CornFlour,young,yes,0.000000,1228.265991,7.296875
CornFlour,young,yes,0.000000,1227.941040,1.696045
CornFlour,young,yes,0.000000,1227.615967,0.000000
CornFlour,young,yes,0.000000,1227.291016,10.934814
CornFlour,young,yes,0.000000,1226.965942,6.414307
CornFlour,young,yes,0.000000,1226.640991,9.253662
CornFlour,young,yes,0.000000,1226.317017,6.412842
CornFlour,young,yes,0.000000,1225.991943,2.812500
CornFlour,young,yes,0.000000,1225.666992,0.731689
CornFlour,young,yes,0.000000,1225.342041,9.731201
CornFlour,young,yes,0.000000,1225.016968,11.250488
CornFlour,young,yes,0.000000,1224.692017,2.530029
CornFlour,young,yes,0.000000,1224.366943,13.729248
CornFlour,young,yes,0.000000,1224.041992,7.408447
CornFlour,young,yes,0.000000,1223.717041,1.488037
CornFlour,young,yes,0.000000,1223.392944,1.647217
CornFlour,young,yes,0.000000,1223.067993,2.646729
CornFlour,young,yes,0.000000,1222.743042,13.286133
CornFlour,young,yes,0.000000,1222.417969,0.000000
CornFlour,young,yes,0.000000,1222.093018,17.884766
CornFlour,young,yes,0.000000,1221.767944,11.164062
CornFlour,young,yes,0.000000,1221.442993,3.923584
CornFlour,young,yes,0.000000,1221.118042,5.083008
CornFlour,young,yes,0.000000,1220.793945,2.282471
CornFlour,young,yes,0.000000,1220.468994,0.000000
CornFlour,young,yes,0.000000,1220.144043,10.600830
CornFlour,young,yes,0.000000,1219.818970,2.240479
CornFlour,young,yes,0.000000,1219.494019,1.959717
CornFlour,young,yes,0.000000,1219.168945,7.399170
CornFlour,young,yes,0.000000,1218.843994,0.000000
CornFlour,young,yes,0.000000,1218.519043,6.397705
CornFlour,young,yes,0.000000,1218.193970,0.000000
CornFlour,young,yes,0.000000,1217.869995,2.156494
CornFlour,young,yes,0.000000,1217.545044,0.000000
CornFlour,young,yes,0.000000,1217.219971,2.755371
CornFlour,young,yes,0.000000,1216.895020,8.114502
CornFlour,young,yes,0.000000,1216.569946,6.874023
CornFlour,young,yes,0.000000,1216.244995,16.233398
CornFlour,young,yes,0.000000,1215.920044,1.072998
CornFlour,young,yes,0.000000,1215.594971,2.832275
CornFlour,young,yes,0.000000,1215.270996,9.991699
CornFlour,young,yes,0.000000,1214.946045,7.551025
CornFlour,young,yes,0.000000,1214.620972,0.000000
CornFlour,young,yes,0.000000,1214.296021,0.000000
CornFlour,young,yes,0.000000,1213.970947,5.749023
CornFlour,young,yes,0.000000,1213.645996,0.000000
CornFlour,young,yes,0.000000,1213.321045,8.107666
CornFlour,young,yes,0.000000,1212.995972,12.427002
CornFlour,young,yes,0.000000,1212.671021,0.000000
CornFlour,young,yes,0.000000,1212.347046,4.865723
CornFlour,young,yes,0.000000,1212.021973,7.865234
CornFlour,young,yes,0.000000,1211.697021,0.344482
CornFlour,young,yes,0.000000,1211.371948,1.623779
CornFlour,young,yes,0.000000,1211.046997,1.263428
CornFlour,young,yes,0.000000,1210.722046,4.702637
CornFlour,young,yes,0.000000,1210.396973,0.000000
CornFlour,young,yes,0.000000,1210.072021,0.000000
CornFlour,young,yes,0.000000,1209.746948,4.821045
CornFlour,young,yes,0.000000,1209.422974,8.540283
CornFlour,young,yes,0.000000,1209.098022,0.000000
CornFlour,young,yes,0.000000,1208.772949,0.019043
CornFlour,young,yes,0.000000,1208.447998,0.000000
CornFlour,young,yes,0.000000,1208.123047,0.000000
CornFlour,young,yes,0.000000,1207.797974,2.457031
CornFlour,young,yes,0.000000,1207.473022,0.056396
CornFlour,young,yes,0.000000,1207.147949,11.255859
CornFlour,young,yes,0.000000,1206.823975,0.000000
CornFlour,young,yes,0.000000,1206.499023,9.334473
CornFlour,young,yes,0.000000,1206.173950,12.013916
CornFlour,young,yes,0.000000,1205.848999,9.813232
CornFlour,young,yes,0.000000,1205.524048,8.092529
CornFlour,young,yes,0.000000,1205.198975,0.000000
CornFlour,young,yes,0.000000,1204.874023,3.491455
CornFlour,young,yes,0.000000,1204.548950,4.290771
CornFlour,young,yes,0.000000,1204.223999,15.730225
CornFlour,young,yes,0.000000,1203.900024,7.249512
CornFlour,young,yes,0.000000,1203.574951,8.488770
CornFlour,young,yes,0.000000,1203.250000,0.000000
CornFlour,young,yes,0.000000,1202.925049,17.607422
CornFlour,young,yes,0.000000,1202.599976,7.007080
CornFlour,young,yes,0.000000,1202.275024,1.806396
CornFlour,young,yes,0.000000,1201.949951,3.445557
CornFlour,young,yes,0.000000,1201.625000,3.485107
CornFlour,young,yes,0.000000,1201.301025,6.764404
CornFlour,young,yes,0.000000,1200.975952,9.883789
CornFlour,young,yes,0.000000,1200.651001,0.562988
CornFlour,young,yes,0.000000,1200.326050,1.802490
CornFlour,young,yes,0.000000,1200.000977,0.000000
CornFlour,young,yes,0.000000,1199.676025,3.921143
CornFlour,young,yes,0.000000,1199.350952,6.400635
CornFlour,young,yes,0.000000,1199.026001,0.000000
CornFlour,young,yes,0.000000,1198.701050,1.239502
CornFlour,young,yes,0.000000,1198.376953,0.000000
CornFlour,young,yes,0.000000,1198.052002,1.038086
CornFlour,young,yes,0.000000,1197.727051,4.517578
CornFlour,young,yes,0.000000,1197.401978,2.636719
CornFlour,young,yes,0.000000,1197.077026,3.676270
CornFlour,young,yes,0.000000,1196.751953,5.555420
CornFlour,young,yes,0.000000,1196.427002,1.834717
CornFlour,young,yes,0.000000,1196.102051,3.194336
CornFlour,young,yes,0.000000,1195.777954,0.000000
CornFlour,young,yes,0.000000,1195.453003,2.113037
CornFlour,young,yes,0.000000,1195.128052,1.072266
CornFlour,young,yes,0.000000,1194.802979,4.231934
CornFlour,young,yes,0.000000,1194.478027,4.431152
CornFlour,young,yes,0.000000,1194.152954,5.510498
CornFlour,young,yes,0.000000,1193.828003,7.429932
CornFlour,young,yes,0.000000,1193.503052,12.549072
CornFlour,young,yes,0.000000,1193.177979,5.228760
CornFlour,young,yes,0.000000,1192.854004,9.667969
CornFlour,young,yes,0.000000,1192.529053,14.627197
CornFlour,young,yes,0.000000,1192.203979,3.506836
CornFlour,young,yes,0.000000,1191.879028,10.186035
CornFlour,young,yes,0.000000,1191.553955,7.465576
CornFlour,young,yes,0.000000,1191.229004,9.864746
CornFlour,young,yes,0.000000,1190.904053,0.000000
CornFlour,young,yes,0.000000,1190.578979,12.143555
CornFlour,young,yes,0.000000,1190.255005,6.342773
CornFlour,young,yes,0.000000,1189.930054,8.582275
CornFlour,young,yes,0.000000,1189.604980,6.781738
CornFlour,young,yes,0.000000,1189.280029,0.000000
CornFlour,young,yes,0.000000,1188.954956,1.300293
CornFlour,young,yes,0.000000,1188.630005,1.699707
CornFlour,young,yes,0.000000,1188.305054,0.000000
CornFlour,young,yes,0.000000,1187.979980,11.538330
