Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
CucumberPlant,young,yes,0.000000,1233.788940,26.340088
CucumberPlant,young,yes,0.000000,1233.463989,20.420166
CucumberPlant,young,yes,0.000000,1233.139038,0.000000
CucumberPlant,young,yes,0.000000,1232.813965,0.000000
CucumberPlant,young,yes,0.000000,1232.489014,4.580322
CucumberPlant,young,yes,0.000000,1232.163940,0.000000
CucumberPlant,young,yes,0.000000,1231.839966,0.000000
CucumberPlant,young,yes,0.000000,1231.515015,0.000000
CucumberPlant,young,yes,0.000000,1231.189941,0.000000
CucumberPlant,young,yes,0.000000,1230.864990,0.000000
CucumberPlant,young,yes,0.000000,1230.540039,0.000000
CucumberPlant,young,yes,0.000000,1230.214966,0.000000
CucumberPlant,young,yes,0.000000,1229.890015,0.000000
CucumberPlant,young,yes,0.000000,1229.564941,0.000000
CucumberPlant,young,yes,0.000000,1229.239990,0.000000
CucumberPlant,young,yes,0.000000,1228.916016,0.000000
CucumberPlant,young,yes,0.000000,1228.590942,3.861084
CucumberPlant,young,yes,0.000000,1228.265991,4.700928
CucumberPlant,young,yes,0.000000,1227.941040,1.020996
CucumberPlant,young,yes,0.000000,1227.615967,9.421143
CucumberPlant,young,yes,0.000000,1227.291016,1.421143
CucumberPlant,young,yes,0.000000,1226.965942,4.781250
CucumberPlant,young,yes,0.000000,1226.640991,2.781250
CucumberPlant,young,yes,0.000000,1226.317017,1.581299
CucumberPlant,young,yes,0.000000,1225.991943,0.000000
CucumberPlant,young,yes,0.000000,1225.666992,4.541504
CucumberPlant,young,yes,0.000000,1225.342041,0.000000
CucumberPlant,young,yes,0.000000,1225.016968,0.000000
CucumberPlant,young,yes,0.000000,1224.692017,1.221436
CucumberPlant,young,yes,0.000000,1224.366943,0.000000
CucumberPlant,young,yes,0.000000,1224.041992,7.461670
CucumberPlant,young,yes,0.000000,1223.717041,0.000000
CucumberPlant,young,yes,0.000000,1223.392944,7.461670
CucumberPlant,young,yes,0.000000,1223.067993,6.861816
CucumberPlant,young,yes,0.000000,1222.743042,0.000000
CucumberPlant,young,yes,0.000000,1222.417969,1.701904
CucumberPlant,young,yes,0.000000,1222.093018,3.342041
CucumberPlant,young,yes,0.000000,1221.767944,0.000000
CucumberPlant,young,yes,0.000000,1221.442993,1.102051
CucumberPlant,young,yes,0.000000,1221.118042,4.542236
CucumberPlant,young,yes,0.000000,1220.793945,0.000000
CucumberPlant,young,yes,0.000000,1220.468994,3.302246
CucumberPlant,young,yes,0.000000,1220.144043,2.302246
CucumberPlant,young,yes,0.000000,1219.818970,3.222412
CucumberPlant,young,yes,0.000000,1219.494019,0.000000
CucumberPlant,young,yes,0.000000,1219.168945,4.742432
CucumberPlant,young,yes,0.000000,1218.843994,7.262451
CucumberPlant,young,yes,0.000000,1218.519043,2.302490
CucumberPlant,young,yes,0.000000,1218.193970,8.742676
CucumberPlant,young,yes,0.000000,1217.869995,0.062744
CucumberPlant,young,yes,0.000000,1217.545044,1.142822
CucumberPlant,young,yes,0.000000,1217.219971,2.462646
CucumberPlant,young,yes,0.000000,1216.895020,8.542969
CucumberPlant,young,yes,0.000000,1216.569946,0.062988
CucumberPlant,young,yes,0.000000,1216.244995,5.942871
CucumberPlant,young,yes,0.000000,1215.920044,7.103027
CucumberPlant,young,yes,0.000000,1215.594971,0.000000
CucumberPlant,young,yes,0.000000,1215.270996,6.103271
CucumberPlant,young,yes,0.000000,1214.946045,14.143311
CucumberPlant,young,yes,0.000000,1214.620972,0.343262
CucumberPlant,young,yes,0.000000,1214.296021,3.103271
CucumberPlant,young,yes,0.000000,1213.970947,3.903564
CucumberPlant,young,yes,0.000000,1213.645996,0.863525
CucumberPlant,young,yes,0.000000,1213.321045,0.000000
CucumberPlant,young,yes,0.000000,1212.995972,2.103516
CucumberPlant,young,yes,0.000000,1212.671021,3.823486
CucumberPlant,young,yes,0.000000,1212.347046,2.103760
CucumberPlant,young,yes,0.000000,1212.021973,5.343750
CucumberPlant,young,yes,0.000000,1211.697021,4.343750
CucumberPlant,young,yes,0.000000,1211.371948,7.143799
CucumberPlant,young,yes,0.000000,1211.046997,18.783936
CucumberPlant,young,yes,0.000000,1210.722046,8.503906
CucumberPlant,young,yes,0.000000,1210.396973,7.503906
CucumberPlant,young,yes,0.000000,1210.072021,0.424072
CucumberPlant,young,yes,0.000000,1209.746948,0.743896
CucumberPlant,young,yes,0.000000,1209.422974,8.704102
CucumberPlant,young,yes,0.000000,1209.098022,11.224121
CucumberPlant,young,yes,0.000000,1208.772949,2.144287
CucumberPlant,young,yes,0.000000,1208.447998,5.424316
CucumberPlant,young,yes,0.000000,1208.123047,0.000000
CucumberPlant,young,yes,0.000000,1207.797974,6.984375
CucumberPlant,young,yes,0.000000,1207.473022,0.000000
CucumberPlant,young,yes,0.000000,1207.147949,8.464355
CucumberPlant,young,yes,0.000000,1206.823975,4.904541
CucumberPlant,young,yes,0.000000,1206.499023,8.744629
CucumberPlant,young,yes,0.000000,1206.173950,1.944580
CucumberPlant,young,yes,0.000000,1205.848999,4.624756
CucumberPlant,young,yes,0.000000,1205.524048,6.504639
CucumberPlant,young,yes,0.000000,1205.198975,2.064941
CucumberPlant,young,yes,0.000000,1204.874023,3.304932
CucumberPlant,young,yes,0.000000,1204.548950,3.104980
CucumberPlant,young,yes,0.000000,1204.223999,7.304932
CucumberPlant,young,yes,0.000000,1203.900024,0.000000
CucumberPlant,young,yes,0.000000,1203.574951,0.000000
CucumberPlant,young,yes,0.000000,1203.250000,0.000000
CucumberPlant,young,yes,0.000000,1202.925049,3.225098
CucumberPlant,young,yes,0.000000,1202.599976,0.000000
CucumberPlant,young,yes,0.000000,1202.275024,8.465332
CucumberPlant,young,yes,0.000000,1201.949951,7.625488
CucumberPlant,young,yes,0.000000,1201.625000,0.000000
CucumberPlant,young,yes,0.000000,1201.301025,6.185547
CucumberPlant,young,yes,0.000000,1200.975952,3.745361
CucumberPlant,young,yes,0.000000,1200.651001,3.265625
CucumberPlant,young,yes,0.000000,1200.326050,12.705566
CucumberPlant,young,yes,0.000000,1200.000977,4.745605
CucumberPlant,young,yes,0.000000,1199.676025,1.705566
CucumberPlant,young,yes,0.000000,1199.350952,0.000000
CucumberPlant,young,yes,0.000000,1199.026001,0.000000
CucumberPlant,young,yes,0.000000,1198.701050,0.186035
CucumberPlant,young,yes,0.000000,1198.376953,8.906006
CucumberPlant,young,yes,0.000000,1198.052002,10.265869
CucumberPlant,young,yes,0.000000,1197.727051,6.986084
CucumberPlant,young,yes,0.000000,1197.401978,1.546143
CucumberPlant,young,yes,0.000000,1197.077026,6.906250
CucumberPlant,young,yes,0.000000,1196.751953,8.546143
CucumberPlant,young,yes,0.000000,1196.427002,1.306152
CucumberPlant,young,yes,0.000000,1196.102051,0.000000
CucumberPlant,young,yes,0.000000,1195.777954,17.546387
CucumberPlant,young,yes,0.000000,1195.453003,9.946289
CucumberPlant,young,yes,0.000000,1195.128052,7.386475
CucumberPlant,young,yes,0.000000,1194.802979,0.546631
CucumberPlant,young,yes,0.000000,1194.478027,6.746582
CucumberPlant,young,yes,0.000000,1194.152954,9.546631
CucumberPlant,young,yes,0.000000,1193.828003,4.666748
CucumberPlant,young,yes,0.000000,1193.503052,3.346680
CucumberPlant,young,yes,0.000000,1193.177979,4.786865
CucumberPlant,young,yes,0.000000,1192.854004,3.026855
CucumberPlant,young,yes,0.000000,1192.529053,0.000000
CucumberPlant,young,yes,0.000000,1192.203979,3.386963
CucumberPlant,young,yes,0.000000,1191.879028,0.467041
CucumberPlant,young,yes,0.000000,1191.553955,8.587158
CucumberPlant,young,yes,0.000000,1191.229004,9.227051
CucumberPlant,young,yes,0.000000,1190.904053,0.000000
CucumberPlant,young,yes,0.000000,1190.578979,9.227051
CucumberPlant,young,yes,0.000000,1190.255005,8.707275
CucumberPlant,young,yes,0.000000,1189.930054,4.747314
CucumberPlant,young,yes,0.000000,1189.604980,0.867432
CucumberPlant,young,yes,0.000000,1189.280029,0.000000
CucumberPlant,young,yes,0.000000,1188.954956,3.187744
CucumberPlant,young,yes,0.000000,1188.630005,10.347656
CucumberPlant,young,yes,0.000000,1188.305054,5.747559
CucumberPlant,young,yes,0.000000,1187.979980,5.827637
CucumberPlant,young,yes,0.000000,1187.655029,9.787598
CucumberPlant,young,yes,0.000000,1187.331055,0.000000
CucumberPlant,young,yes,0.000000,1187.005981,0.000000
CucumberPlant,young,yes,0.000000,1186.681030,6.067871
CucumberPlant,young,yes,0.000000,1186.355957,0.667969
CucumberPlant,young,yes,0.000000,1186.031006,13.588135
CucumberPlant,young,yes,0.000000,1185.706055,18.748047
CucumberPlant,young,yes,0.000000,1185.380981,15.068115
CucumberPlant,young,yes,0.000000,1185.056030,0.628174
CucumberPlant,young,yes,0.000000,1184.732056,7.508057
CucumberPlant,young,yes,0.000000,1184.406982,12.308350
CucumberPlant,young,yes,0.000000,1184.082031,3.468262
CucumberPlant,young,yes,0.000000,1183.756958,0.308350
CucumberPlant,young,yes,0.000000,1183.432007,5.828369
CucumberPlant,young,yes,0.000000,1183.107056,2.108643
CucumberPlant,young,yes,0.000000,1182.781982,13.628662
CucumberPlant,young,yes,0.000000,1182.457031,16.388672
CucumberPlant,young,yes,0.000000,1182.131958,2.308594
CucumberPlant,young,yes,0.000000,1181.807983,4.268555
CucumberPlant,young,yes,0.000000,1181.483032,0.000000
CucumberPlant,young,yes,0.000000,1181.157959,0.948730
CucumberPlant,young,yes,0.000000,1180.833008,0.000000
CucumberPlant,young,yes,0.000000,1180.508057,0.000000
CucumberPlant,young,yes,0.000000,1180.182983,14.829102
CucumberPlant,young,yes,0.000000,1179.858032,9.269043
CucumberPlant,young,yes,0.000000,1179.532959,7.589111
CucumberPlant,young,yes,0.000000,1179.208984,12.589111
CucumberPlant,young,yes,0.000000,1178.884033,1.708984
CucumberPlant,young,yes,0.000000,1178.558960,11.229248
CucumberPlant,young,yes,0.000000,1178.234009,5.029297
CucumberPlant,young,yes,0.000000,1177.909058,6.149414
CucumberPlant,young,yes,0.000000,1177.583984,14.589355
CucumberPlant,young,yes,0.000000,1177.259033,11.189697
CucumberPlant,young,yes,0.000000,1176.933960,7.909668
CucumberPlant,young,yes,0.000000,1176.609009,9.669678
CucumberPlant,young,yes,0.000000,1176.285034,7.189697
CucumberPlant,young,yes,0.000000,1175.959961,1.109619
CucumberPlant,young,yes,0.000000,1175.635010,12.029785
CucumberPlant,young,yes,0.000000,1175.310059,4.869873
CucumberPlant,young,yes,0.000000,1174.984985,0.309814
CucumberPlant,young,yes,0.000000,1174.660034,7.909912
CucumberPlant,young,yes,0.000000,1174.334961,0.000000
CucumberPlant,young,yes,0.000000,1174.010010,1.270020
CucumberPlant,young,yes,0.000000,1173.686035,3.709961
CucumberPlant,young,yes,0.000000,1173.360962,8.150146
CucumberPlant,young,yes,0.000000,1173.036011,3.790039
CucumberPlant,young,yes,0.000000,1172.711060,7.790283
CucumberPlant,young,yes,0.000000,1172.385986,7.470215
CucumberPlant,young,yes,0.000000,1172.061035,5.390381
CucumberPlant,young,yes,0.000000,1171.735962,1.110352
CucumberPlant,young,yes,0.000000,1171.411011,9.350586
CucumberPlant,young,yes,0.000000,1171.086060,0.000000
CucumberPlant,young,yes,0.000000,1170.761963,0.000000
CucumberPlant,young,yes,0.000000,1170.437012,3.030518
CucumberPlant,young,yes,0.000000,1170.112061,2.310547
CucumberPlant,young,yes,0.000000,1169.786987,5.470703
CucumberPlant,young,yes,0.000000,1169.462036,5.270752
CucumberPlant,young,yes,0.000000,1169.136963,1.870850
CucumberPlant,young,yes,0.000000,1168.812012,5.990723
CucumberPlant,young,yes,0.000000,1168.487061,0.000000
CucumberPlant,young,yes,0.000000,1168.162964,4.391113
CucumberPlant,young,yes,0.000000,1167.838013,5.871094
CucumberPlant,young,yes,0.000000,1167.512939,0.000000
CucumberPlant,young,yes,0.000000,1167.187988,4.431152
CucumberPlant,young,yes,0.000000,1166.863037,2.551270
CucumberPlant,young,yes,0.000000,1166.537964,0.000000
CucumberPlant,young,yes,0.000000,1166.213013,8.031250
CucumberPlant,young,yes,0.000000,1165.887939,6.391357
CucumberPlant,young,yes,0.000000,1165.562988,3.231445
CucumberPlant,young,yes,0.000000,1165.239014,1.071533
CucumberPlant,young,yes,0.000000,1164.913940,6.751465
CucumberPlant,young,yes,0.000000,1164.588989,7.671631
CucumberPlant,young,yes,0.000000,1164.264038,10.471436
CucumberPlant,young,yes,0.000000,1163.938965,3.031738
CucumberPlant,young,yes,0.000000,1163.614014,0.000000
CucumberPlant,young,yes,0.000000,1163.288940,0.671875
CucumberPlant,young,yes,0.000000,1162.963989,0.000000
CucumberPlant,young,yes,0.000000,1162.640015,4.271973
CucumberPlant,young,yes,0.000000,1162.314941,7.912109
CucumberPlant,young,yes,0.000000,1161.989990,4.432129
CucumberPlant,young,yes,0.000000,1161.665039,10.912109
CucumberPlant,young,yes,0.000000,1161.339966,4.711914
CucumberPlant,young,yes,0.000000,1161.015015,1.752197
CucumberPlant,young,yes,0.000000,1160.689941,1.352295
CucumberPlant,young,yes,0.000000,1160.364990,7.312256
