Subject,Subtype,Healthy,Sent Wavelength,Returned Wavelength,Returned Intensity
TomatoFruit,young,yes,0.000000,1233.788940,20.500000
TomatoFruit,young,yes,0.000000,1233.463989,14.700439
TomatoFruit,young,yes,0.000000,1233.139038,0.000000
TomatoFruit,young,yes,0.000000,1232.813965,8.301514
TomatoFruit,young,yes,0.000000,1232.489014,3.102051
TomatoFruit,young,yes,0.000000,1232.163940,9.102295
TomatoFruit,young,yes,0.000000,1231.839966,0.000000
TomatoFruit,young,yes,0.000000,1231.515015,0.143311
TomatoFruit,young,yes,0.000000,1231.189941,6.343750
TomatoFruit,young,yes,0.000000,1230.864990,0.000000
TomatoFruit,young,yes,0.000000,1230.540039,0.000000
TomatoFruit,young,yes,0.000000,1230.214966,0.000000
TomatoFruit,young,yes,0.000000,1229.890015,0.000000
TomatoFruit,young,yes,0.000000,1229.564941,0.000000
TomatoFruit,young,yes,0.000000,1229.239990,0.000000
TomatoFruit,young,yes,0.000000,1228.916016,0.000000
TomatoFruit,young,yes,0.000000,1228.590942,0.000000
TomatoFruit,young,yes,0.000000,1228.265991,0.627930
TomatoFruit,young,yes,0.000000,1227.941040,8.588379
TomatoFruit,young,yes,0.000000,1227.615967,3.828857
TomatoFruit,young,yes,0.000000,1227.291016,0.000000
TomatoFruit,young,yes,0.000000,1226.965942,1.989746
TomatoFruit,young,yes,0.000000,1226.640991,3.230225
TomatoFruit,young,yes,0.000000,1226.317017,0.000000
TomatoFruit,young,yes,0.000000,1225.991943,3.431152
TomatoFruit,young,yes,0.000000,1225.666992,6.991455
TomatoFruit,young,yes,0.000000,1225.342041,0.392090
TomatoFruit,young,yes,0.000000,1225.016968,3.552490
TomatoFruit,young,yes,0.000000,1224.692017,13.673096
TomatoFruit,young,yes,0.000000,1224.366943,0.873535
TomatoFruit,young,yes,0.000000,1224.041992,5.033936
TomatoFruit,young,yes,0.000000,1223.717041,0.000000
TomatoFruit,young,yes,0.000000,1223.392944,0.000000
TomatoFruit,young,yes,0.000000,1223.067993,0.000000
TomatoFruit,young,yes,0.000000,1222.743042,3.355713
TomatoFruit,young,yes,0.000000,1222.417969,0.000000
TomatoFruit,young,yes,0.000000,1222.093018,5.596680
TomatoFruit,young,yes,0.000000,1221.767944,5.557129
TomatoFruit,young,yes,0.000000,1221.442993,9.517578
TomatoFruit,young,yes,0.000000,1221.118042,10.038086
TomatoFruit,young,yes,0.000000,1220.793945,7.318604
TomatoFruit,young,yes,0.000000,1220.468994,0.000000
TomatoFruit,young,yes,0.000000,1220.144043,0.000000
TomatoFruit,young,yes,0.000000,1219.818970,8.639893
TomatoFruit,young,yes,0.000000,1219.494019,1.240234
TomatoFruit,young,yes,0.000000,1219.168945,11.320801
TomatoFruit,young,yes,0.000000,1218.843994,0.601318
TomatoFruit,young,yes,0.000000,1218.519043,10.801758
TomatoFruit,young,yes,0.000000,1218.193970,11.042236
TomatoFruit,young,yes,0.000000,1217.869995,1.802734
TomatoFruit,young,yes,0.000000,1217.545044,0.243164
TomatoFruit,young,yes,0.000000,1217.219971,6.483398
TomatoFruit,young,yes,0.000000,1216.895020,0.000000
TomatoFruit,young,yes,0.000000,1216.569946,2.404541
TomatoFruit,young,yes,0.000000,1216.244995,6.964844
TomatoFruit,young,yes,0.000000,1215.920044,2.485352
TomatoFruit,young,yes,0.000000,1215.594971,16.645996
TomatoFruit,young,yes,0.000000,1215.270996,10.006348
TomatoFruit,young,yes,0.000000,1214.946045,5.886963
TomatoFruit,young,yes,0.000000,1214.620972,0.000000
TomatoFruit,young,yes,0.000000,1214.296021,0.000000
TomatoFruit,young,yes,0.000000,1213.970947,6.328125
TomatoFruit,young,yes,0.000000,1213.645996,6.208496
TomatoFruit,young,yes,0.000000,1213.321045,15.569092
TomatoFruit,young,yes,0.000000,1212.995972,1.649658
TomatoFruit,young,yes,0.000000,1212.671021,6.610107
TomatoFruit,young,yes,0.000000,1212.347046,11.170654
TomatoFruit,young,yes,0.000000,1212.021973,6.010986
TomatoFruit,young,yes,0.000000,1211.697021,7.731445
TomatoFruit,young,yes,0.000000,1211.371948,4.331787
TomatoFruit,young,yes,0.000000,1211.046997,9.492188
TomatoFruit,young,yes,0.000000,1210.722046,3.652832
TomatoFruit,young,yes,0.000000,1210.396973,28.053223
TomatoFruit,young,yes,0.000000,1210.072021,5.453857
TomatoFruit,young,yes,0.000000,1209.746948,8.374268
TomatoFruit,young,yes,0.000000,1209.422974,0.134766
TomatoFruit,young,yes,0.000000,1209.098022,10.815186
TomatoFruit,young,yes,0.000000,1208.772949,10.655762
TomatoFruit,young,yes,0.000000,1208.447998,4.215820
TomatoFruit,young,yes,0.000000,1208.123047,10.776367
TomatoFruit,young,yes,0.000000,1207.797974,3.976807
TomatoFruit,young,yes,0.000000,1207.473022,7.697510
TomatoFruit,young,yes,0.000000,1207.147949,3.377930
TomatoFruit,young,yes,0.000000,1206.823975,7.738281
TomatoFruit,young,yes,0.000000,1206.499023,0.000000
TomatoFruit,young,yes,0.000000,1206.173950,10.099365
TomatoFruit,young,yes,0.000000,1205.848999,18.099854
TomatoFruit,young,yes,0.000000,1205.524048,0.780029
TomatoFruit,young,yes,0.000000,1205.198975,0.000000
TomatoFruit,young,yes,0.000000,1204.874023,0.000000
TomatoFruit,young,yes,0.000000,1204.548950,8.181641
TomatoFruit,young,yes,0.000000,1204.223999,10.342041
