Epoch 0/4000	ETA: 0.0159908930460612min.
Epoch 10/4000	ETA: 0.13956979990005494min.
Epoch 20/4000	ETA: 0.26650845845540366min.
Epoch 30/4000	ETA: 0.41132049560546874min.
Epoch 40/4000	ETA: 0.5382499980926514min.
Epoch 50/4000	ETA: 0.6619028925895691min.
Epoch 60/4000	ETA: 0.6602256234486897min.
Epoch 70/4000	ETA: 0.6572397065162658min.
Epoch 80/4000	ETA: 0.646426944732666min.
Epoch 90/4000	ETA: 0.6525939114888509min.
Epoch 100/4000	ETA: 0.6496237277984619min.
Epoch 110/4000	ETA: 0.6531449349721273min.
Epoch 120/4000	ETA: 0.652759755452474min.
Epoch 130/4000	ETA: 0.653653199672699min.
Epoch 140/4000	ETA: 0.6416768010457357min.
Epoch 150/4000	ETA: 0.6451446334520976min.
Epoch 160/4000	ETA: 0.644747314453125min.
Epoch 170/4000	ETA: 0.6468934416770935min.
Epoch 180/4000	ETA: 0.643939380645752min.
Epoch 190/4000	ETA: 0.6485953426361084min.
Epoch 200/4000	ETA: 0.6329703330993652min.
Epoch 210/4000	ETA: 0.6338271896044413min.
Epoch 220/4000	ETA: 0.6334144306182862min.
Epoch 230/4000	ETA: 0.6279663077990214min.
Epoch 240/4000	ETA: 0.6237998072306316min.
Epoch 250/4000	ETA: 0.6283861398696899min.
Epoch 260/4000	ETA: 0.6267116324106852min.
Epoch 270/4000	ETA: 0.6200662207603455min.
Epoch 280/4000	ETA: 0.6283178043365478min.
Epoch 290/4000	ETA: 0.6426972031593323min.
Epoch 300/4000	ETA: 0.6594523509343465min.
Epoch 310/4000	ETA: 0.6687351393699646min.
Epoch 320/4000	ETA: 0.6889886728922526min.
Epoch 330/4000	ETA: 0.7543616278966268min.
Epoch 340/4000	ETA: 0.7681565618515015min.
Epoch 350/4000	ETA: 0.7538986603418986min.
Epoch 360/4000	ETA: 0.7591083176930746min.
Epoch 370/4000	ETA: 0.7570242977142335min.
Epoch 380/4000	ETA: 0.7115226936340332min.
Epoch 390/4000	ETA: 1.4239258726437887min.
Epoch 400/4000	ETA: 1.6046745300292968min.
Epoch 410/4000	ETA: 1.6564278268814085min.
Epoch 420/4000	ETA: 1.6959417629241942min.
Epoch 430/4000	ETA: 1.766131043434143min.
Epoch 440/4000	ETA: 1.0994060230255127min.
Epoch 450/4000	ETA: 0.9579469601313273min.
Epoch 460/4000	ETA: 0.9670423173904419min.
Epoch 470/4000	ETA: 1.0454531550407409min.
Epoch 480/4000	ETA: 1.1785209147135416min.
Epoch 490/4000	ETA: 1.2663782501220704min.
Epoch 500/4000	ETA: 1.3385634024937947min.
Epoch 510/4000	ETA: 1.3556652140617371min.
Epoch 520/4000	ETA: 1.4514826679229735min.
Epoch 530/4000	ETA: 1.4299709955851236min.
Epoch 540/4000	ETA: 1.3382484324773152min.
Epoch 550/4000	ETA: 1.5929800271987915min.
