Epoch 0/4000	ETA: 0.015974044799804688min.
Epoch 10/4000	ETA: 0.14752829313278198min.
Epoch 20/4000	ETA: 0.2810741647084554min.
Epoch 30/4000	ETA: 0.4165929373105367min.
Epoch 40/4000	ETA: 0.5659374618530273min.
Epoch 50/4000	ETA: 0.6803245306015014min.
Epoch 60/4000	ETA: 0.6825400257110595min.
Epoch 70/4000	ETA: 0.6873544049263001min.
Epoch 80/4000	ETA: 0.6816872533162435min.
Epoch 90/4000	ETA: 0.6630145398775736min.
Epoch 100/4000	ETA: 0.6613194704055786min.
Epoch 110/4000	ETA: 0.6583262793223064min.
Epoch 120/4000	ETA: 0.6475864887237549min.
Epoch 130/4000	ETA: 0.651073694229126min.
Epoch 140/4000	ETA: 0.6519660139083863min.
Epoch 150/4000	ETA: 0.6797853906949362min.
Epoch 160/4000	ETA: 0.6869650268554688min.
Epoch 170/4000	ETA: 0.7004873355229696min.
Epoch 180/4000	ETA: 0.6986577796936035min.
Epoch 190/4000	ETA: 0.7006337118148803min.
Epoch 200/4000	ETA: 0.678530486424764min.
Epoch 210/4000	ETA: 0.674230444431305min.
Epoch 220/4000	ETA: 0.662376708984375min.
Epoch 230/4000	ETA: 0.6681620454788209min.
Epoch 240/4000	ETA: 0.6663891347249349min.
Epoch 250/4000	ETA: 0.6671151518821716min.
Epoch 260/4000	ETA: 0.675303438504537min.
Epoch 270/4000	ETA: 0.6821957739194234min.
Epoch 280/4000	ETA: 0.7311765384674073min.
Epoch 290/4000	ETA: 0.7366298826535543min.
Epoch 300/4000	ETA: 0.7617610216140747min.
Epoch 310/4000	ETA: 0.759703381061554min.
Epoch 320/4000	ETA: 0.7637730662027995min.
Epoch 330/4000	ETA: 0.7115705227851867min.
Epoch 340/4000	ETA: 0.7145057582855224min.
Epoch 350/4000	ETA: 0.7040444691975911min.
Epoch 360/4000	ETA: 0.7033265113830567min.
Epoch 370/4000	ETA: 0.7074421262741089min.
Epoch 380/4000	ETA: 0.7477016576131185min.
Epoch 390/4000	ETA: 0.8418476740519206min.
Epoch 400/4000	ETA: 0.850308895111084min.
Epoch 410/4000	ETA: 0.8957861574490865min.
Epoch 420/4000	ETA: 0.9087954584757487min.
Epoch 430/4000	ETA: 0.8836601948738099min.
Epoch 440/4000	ETA: 0.8218864790598552min.
Epoch 450/4000	ETA: 0.8077495654424033min.
Epoch 460/4000	ETA: 0.7488740491867066min.
Epoch 470/4000	ETA: 0.7396965726216633min.
Epoch 480/4000	ETA: 0.7598827616373697min.
Epoch 490/4000	ETA: 0.7729239749908446min.
Epoch 500/4000	ETA: 0.771889607111613min.
Epoch 510/4000	ETA: 0.7952559940020243min.
Epoch 520/4000	ETA: 0.7918237686157227min.
Epoch 530/4000	ETA: 0.769895605246226min.
Epoch 540/4000	ETA: 0.7169611199696859min.
Epoch 550/4000	ETA: 0.6999449968338013min.
Epoch 560/4000	ETA: 0.6876029332478841min.
Epoch 570/4000	ETA: 0.6787473106384277min.
Epoch 580/4000	ETA: 0.6528421497344971min.
Epoch 590/4000	ETA: 0.6429809586207071min.
Epoch 600/4000	ETA: 0.6841386636098226min.
Epoch 610/4000	ETA: 0.6787388920783997min.
Epoch 620/4000	ETA: 0.6699809630711874min.
Epoch 630/4000	ETA: 0.6758599273363749min.
Epoch 640/4000	ETA: 0.6828057479858398min.
Epoch 650/4000	ETA: 0.6316691080729167min.
Epoch 660/4000	ETA: 0.6375723155339559min.
Epoch 670/4000	ETA: 0.6944592475891114min.
Epoch 680/4000	ETA: 0.6990074984232585min.
Epoch 690/4000	ETA: 0.7013155937194824min.
Epoch 700/4000	ETA: 0.7079919815063476min.
Epoch 710/4000	ETA: 0.6883087388674417min.
Epoch 720/4000	ETA: 0.7452236620585123min.
Epoch 730/4000	ETA: 0.8442636156082154min.
Epoch 740/4000	ETA: 0.9459408378601074min.
Epoch 750/4000	ETA: 1.1649945775667827min.
Epoch 760/4000	ETA: 1.2348075771331788min.
Epoch 770/4000	ETA: 1.1761178890864055min.
Epoch 780/4000	ETA: 1.129567675590515min.
Epoch 790/4000	ETA: 1.0522728085517883min.
Epoch 800/4000	ETA: 0.9018791198730469min.
Epoch 810/4000	ETA: 0.8756815322240193min.
Epoch 820/4000	ETA: 0.887767539024353min.
Epoch 830/4000	ETA: 0.9272190141677856min.
Epoch 840/4000	ETA: 1.0074593957265219min.
Epoch 850/4000	ETA: 0.9979741930961609min.
Epoch 860/4000	ETA: 0.9874838781356812min.
Epoch 870/4000	ETA: 0.9509716931978861min.
Epoch 880/4000	ETA: 0.9011596488952637min.
Epoch 890/4000	ETA: 0.8547559754053752min.
Epoch 900/4000	ETA: 0.8127644379933676min.
Epoch 910/4000	ETA: 0.811171805858612min.
Epoch 920/4000	ETA: 0.7972609933217367min.
Epoch 930/4000	ETA: 0.7609207900365194min.
Epoch 940/4000	ETA: 0.7064534711837768min.
Epoch 950/4000	ETA: 0.708209232489268min.
Epoch 960/4000	ETA: 0.6947469329833984min.
Epoch 970/4000	ETA: 0.6823659253120422min.
Epoch 980/4000	ETA: 0.6841388273239136min.
Epoch 990/4000	ETA: 0.6848810958862304min.
Epoch 1000/4000	ETA: 0.7085907459259033min.
Epoch 1010/4000	ETA: 0.7799394575754802min.
Epoch 1020/4000	ETA: 0.8587381331125895min.
Epoch 1030/4000	ETA: 0.9142343759536743min.
Epoch 1040/4000	ETA: 0.9289038022359212min.
Epoch 1050/4000	ETA: 0.9041451017061869min.
Epoch 1060/4000	ETA: 0.834478211402893min.
Epoch 1070/4000	ETA: 0.7623360053698223min.
Epoch 1080/4000	ETA: 0.7042858123779296min.
Epoch 1090/4000	ETA: 0.6989673233032226min.
Epoch 1100/4000	ETA: 0.684971284866333min.
Epoch 1110/4000	ETA: 0.6768327196439107min.
Epoch 1120/4000	ETA: 0.6744914245605469min.
Epoch 1130/4000	ETA: 0.6740601261456808min.
Epoch 1140/4000	ETA: 0.6536092376708984min.
Epoch 1150/4000	ETA: 0.6579711437225342min.
Epoch 1160/4000	ETA: 0.665123488108317min.
Epoch 1170/4000	ETA: 0.6533529027303059min.
Epoch 1180/4000	ETA: 0.6463479375839233min.
Epoch 1190/4000	ETA: 0.6524810695648193min.
Epoch 1200/4000	ETA: 0.6436279932657878min.
Epoch 1210/4000	ETA: 0.6283171391487121min.
Epoch 1220/4000	ETA: 0.6288440211613971min.
Epoch 1230/4000	ETA: 0.6265815520286561min.
Epoch 1240/4000	ETA: 0.6206415462493896min.
Epoch 1250/4000	ETA: 0.6174769004185995min.
Epoch 1260/4000	ETA: 0.6188832918802897min.
Epoch 1270/4000	ETA: 0.6175336599349975min.
Epoch 1280/4000	ETA: 0.6089295323689777min.
Epoch 1290/4000	ETA: 0.6066901747385661min.
Epoch 1300/4000	ETA: 0.6098484992980957min.
Epoch 1310/4000	ETA: 0.6138623785972595min.
Epoch 1320/4000	ETA: 0.6071163622538248min.
Epoch 1330/4000	ETA: 0.6057403016090394min.
Epoch 1340/4000	ETA: 0.6034716113408407min.
Epoch 1350/4000	ETA: 0.5976717392603556min.
Epoch 1360/4000	ETA: 0.5848628044128418min.
Epoch 1370/4000	ETA: 0.5835233910878498min.
Epoch 1380/4000	ETA: 0.5839296865463257min.
Epoch 1390/4000	ETA: 0.5790859508514403min.
Epoch 1400/4000	ETA: 0.575135056177775min.
Epoch 1410/4000	ETA: 0.5746485106150309min.
Epoch 1420/4000	ETA: 0.5758679008483888min.
Epoch 1430/4000	ETA: 0.5736293188730875min.
Epoch 1440/4000	ETA: 0.625133056640625min.
Epoch 1450/4000	ETA: 0.6702637672424316min.
Epoch 1460/4000	ETA: 0.6947125212351482min.
Epoch 1470/4000	ETA: 0.6902916924158732min.
Epoch 1480/4000	ETA: 0.7194647312164306min.
Epoch 1490/4000	ETA: 0.7199543412526449min.
Epoch 1500/4000	ETA: 0.7195844252904257min.
Epoch 1510/4000	ETA: 0.7780911612510681min.
Epoch 1520/4000	ETA: 0.8204071998596192min.
Epoch 1530/4000	ETA: 0.8319103765487671min.
Epoch 1540/4000	ETA: 0.8146105623245239min.
Epoch 1550/4000	ETA: 0.8153796434402466min.
Epoch 1560/4000	ETA: 0.7340165869394938min.
Epoch 1570/4000	ETA: 0.7010553646087646min.
Epoch 1580/4000	ETA: 0.6651157744725545min.
Epoch 1590/4000	ETA: 0.6318582304318746min.
